The planets are:
Mercury: 4879 diameter, 0 moons, 0.25 orbit time, 1426.00 rot. time
Venus: 12104 diameter, 0 moons, 0.62 orbit time, 5832.00 rot. time
Earth: 12756 diameter, 1 moons, 1.00 orbit time, 24.00 rot. time
Mars: 6779 diameter, 2 moons, 1.88 orbit time, 24.61 rot. time
Jupiter: 142800 diameter, 16 moons, 11.90 orbit time, 9.93 rot. time
Saturn: 120536 diameter, 146 moons, 29.40 orbit time, 10.70 rot. time
Uranus: 50000 diameter, 27 moons, 84.00 orbit time, 17.23 rot. time
Neptune: 49528 diameter, 14 moons, 165.00 orbit time, 16.10 rot. time

Sorted by diameter, they are:
Mercury: 4879 diameter, 0 moons, 0.25 orbit time, 1426.00 rot. time
Mars: 6779 diameter, 2 moons, 1.88 orbit time, 24.61 rot. time
Venus: 12104 diameter, 0 moons, 0.62 orbit time, 5832.00 rot. time
Earth: 12756 diameter, 1 moons, 1.00 orbit time, 24.00 rot. time
Neptune: 49528 diameter, 14 moons, 165.00 orbit time, 16.10 rot. time
Uranus: 50000 diameter, 27 moons, 84.00 orbit time, 17.23 rot. time
Saturn: 120536 diameter, 146 moons, 29.40 orbit time, 10.70 rot. time
Jupiter: 142800 diameter, 16 moons, 11.90 orbit time, 9.93 rot. time

Sorted by name, they are:
Earth: 12756 diameter, 1 moons, 1.00 orbit time, 24.00 rot. time
Jupiter: 142800 diameter, 16 moons, 11.90 orbit time, 9.93 rot. time
Mars: 6779 diameter, 2 moons, 1.88 orbit time, 24.61 rot. time
Mercury: 4879 diameter, 0 moons, 0.25 orbit time, 1426.00 rot. time
Neptune: 49528 diameter, 14 moons, 165.00 orbit time, 16.10 rot. time
Saturn: 120536 diameter, 146 moons, 29.40 orbit time, 10.70 rot. time
Uranus: 50000 diameter, 27 moons, 84.00 orbit time, 17.23 rot. time
Venus: 12104 diameter, 0 moons, 0.62 orbit time, 5832.00 rot. time
